text,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official,Surprise,Joking
- _____ _____ _____ ______ ______ ______ _____ ___ 7 _____,0,0,0,0,0,0,0,0,1,0,0
 _____________ _____ _____ _____ __ _____ _____  (___)  face_with_tears_of_joy  face_with_stuck-out_tongue_&_winking_eye ,0,0,0,0,0,0,0,0,0,0,1
 __ __ ______ ____ ______ ____ ______  (___ ___)  (___ ___)  (_____)  light_skin_tone _ male_sign _,0,0,0,0,0,0,0,0,0,0,1
"____ 121 _____ _____ ______ ______ ______ ___ ________ ___ 1215 _____ _______ _______ 29 ____.",0,0,0,0,0,0,0,0,1,0,0
" __ ___ ____ ___ _ __ ____ ___ __ ______  (___ ___)  (___ ___) ",0,0,0,0,0,0,0,0,0,0,1
 | _________ _______ : _____ ___ _______ _______ ______ _______ _______ __ ____ .,0,0,0,0,0,0,0,0,1,0,0
"____ | _____ _____ ___________: ______ ___ _______ ____ ______ ______ __ _______ ___ 21. _________ ___ 5,591 __ _____ 97______ _____.",0,0,0,0,0,0,0,0,1,0,0
______ _ ____ ______ __ ___ __  rolling_on_the_floor_laughing  (___ ___),0,0,0,0,0,0,0,0,0,0,1
   ___ __ ___ ___ ____ ______ __ _________ ______ ____ _____ . ____ _____ _____ _____,0,0,0,0,0,0,0,0,0,1,0
_____ _____ ______ __ ___ _____ _____ _____,0,0,0,0,0,0,0,0,0,0,1
___ ______ ___ ____ ______ _ _____ ____    ______ _____,1,0,0,0,0,0,0,0,0,0,0
_______ _______ ____ ___ ______ ___ _____ __ ________ ______ ____ ______ __ _____ ______ _____ ______ _______  ___ ___ ______ ____ ___  (___)  light_skin_tone  (___)  light_skin_tone ,0,0,0,0,0,0,1,1,0,0,0
______ ______ ___ ____ _______ _ ____ __ ______ _____ ____ ____,1,0,1,0,0,0,0,0,0,0,0
____ _____ ___ _____ ____ __ ______ _____ ______,1,0,1,0,0,0,0,0,0,0,0
__ ____ _______ _____ _____ ___ ______ _____ _______ _______ ____ ______ ______ ____ ______ !!! ______,0,0,0,0,0,0,0,0,0,1,0
 _____ ___ ___ _____ ___ _____ ______ ___ _____ ____ __ ____ ___ ___ ____ ____ ___ ______,0,0,0,0,0,1,1,0,0,0,0
 ______ _____ _______ _____ ______ _____ ____ ____ _____ _____ ______ _____ _______,0,0,0,1,1,1,0,0,0,0,0
____ ____ ____ ___ ______ ____ ____ ______  folded_hands  (___) ,1,0,0,0,0,0,0,0,0,0,0
 ___ __ ____ ____..____ __ ______ __ ____ ___ _____..._____ ____ ______ ___ ___,0,0,0,0,0,0,1,1,0,0,0
______ _______ (___ ____) _______ __ ,0,1,0,0,0,0,0,0,0,0,0
  (___ ___)  (___ ___)  ____ ___ ______ ____ ___ ____ _________ ___ ____   ___ ____  (___ ___)  (___ ___) ,0,0,0,0,0,0,0,0,0,0,1
"_.____ ____ __ ____   ____ ____ _______ _______ :  ____ ___ ______ ________ _  ______ ___ _____ ____ ____ _  ___ ____ ______ ____ ______ .",0,0,0,0,0,0,0,0,1,0,0
      __ ____ _______ _________ __ ___ _______ __ ______ ___ _________ __ _________ __ ______!!,0,0,0,0,0,0,0,0,0,1,0
_____ _____ ___________: ______ ___ ________ ______ ______ ___ 5591 ____,0,0,0,0,0,0,0,0,1,0,0
 _____ __ ___ _____ ______ _______ handshake  (___ ___)   ,0,0,0,0,0,0,0,0,0,0,1
 _____ ____ __ ______ _______ __________  ______ _______ ___ ___ ______ ___ _____     _______ ____ ___ ____ __ ____.,0,0,0,0,0,0,1,0,0,0,0
____ __ __ _____ ______ ______ ___ __ _____ ____ _____ ______ ______ _____ __ _____ globe_showing_Americas .,1,0,1,0,0,0,0,0,0,0,0
______ ______ ______ _____ ____ _____ ___ ______ ________ __ ______ __  (_____ ____)  (_________) ,0,0,0,0,1,1,0,0,0,0,0
____ _____ __   ______ ___  ____ _____ _____ _____  (_____)  light_skin_tone          ,0,0,0,0,0,0,0,1,0,0,0
_____ _____ ___________: ______ ___ ________ ______ ______ ___ 5591 ____ _______ ___ _______ ___ 21,0,0,0,0,0,0,0,0,1,0,0
 ______ _____ ___ ____ __ ______ __ ____ ______,0,0,0,0,0,0,0,0,0,1,0
_____ _____ ______ ______ _____ __ _______  (____)  (____) ,0,0,0,0,0,1,0,0,0,0,0
   ____ ____ _____ ____ ______ ____ __ ____,1,0,0,0,0,0,0,0,0,0,0
_____ _____ __ _______ _______ ____ _____ __ ____ _______ ___ _______.. ________ ______ ____ __ ____ _____ ____ ___ ___.\! ,0,0,1,0,0,0,0,0,0,0,0
___ ____ ______ ________ ___ __ ________ ______,0,0,0,0,0,0,0,0,0,0,1
___ ____ ____ _____ __ ____ __ __ _____ ___ __ ______ ___ ______ ______        ,0,0,1,0,0,0,0,0,0,0,0
 _____ __ __ ___ __ _____ ____ ____ _____,0,0,0,1,0,0,1,0,0,0,0
___ ___ ____ __ __ ___ ____ ____ ____ _____ ______ ____  (____)  (____) ,0,0,0,0,1,1,0,0,0,0,0
"_____ ______ __ ___ ___ ____ _ ____ ___ _______ ________ ______ _______ ______ _____ __ ______ __ ____ ",0,0,0,0,0,1,1,0,0,0,0
____ ______ ___ ___ _ ,0,0,0,1,0,1,0,0,0,0,0
__ _____ ______ ___ _____ _____ __ _____ _______  ___ ____ ____  ____ _____,1,0,1,0,0,0,0,0,0,0,0
_. ____ ______ :  __ ____ ____ ____ 7 _____ _____ ___ _______ ____ __ ______ __ ______ ______ _______ 80 ____. ___ ____ ______ __ __ _____.,1,1,0,0,0,0,0,0,0,0,0
_______ _______ ______ _____ ______ _____ _____ ______ ____ ____  graduation_cap  graduation_cap  graduation_cap  graduation_cap  graduation_cap ,1,0,0,0,0,0,0,0,0,0,0
_____: ______ ___ _____ _______ ______ ______ _______ ___ 10 ____ ___ _____ ______ ______,0,0,0,0,0,0,0,0,1,0,0
"____ ______ __ ___ ____ ___ __ ___ ___ ____ ______ _____...",1,0,0,0,0,0,0,0,0,0,0
 __ __ _____ ___ __ _____ ____ ____ ____ _______ ___ ______ _____ _____ _____ ___ ______ ____ __ _______,0,0,0,0,0,0,0,0,1,0,0
____ ____ ______ ____________ ______ ____ ______ _______ ________  (_____ ____)  (____ ____)  (____ ____)  (____ ____)  (_________) ,0,0,0,0,0,1,0,0,0,0,0
"___ ___ _____ ____ _____ ___ ____ ______ _____ ______ ________ _ ____ _____ __ ",0,0,0,0,0,1,0,0,0,0,0
 ___________ __ ____ ____ _____ .. ,0,0,0,0,0,0,0,0,0,1,0
____ ___ ____ __ ______ _ ____ __ ____ ____  (_____ ______) .,0,0,0,0,0,0,0,0,0,0,1
__ ____ ____ ____ 7 _____ _____ ___ _______ ____ __ ______ __ ______ ______ _______ 80 ____. ___ ____ ______ __ __ _____.,1,0,1,0,0,0,0,0,0,0,0
____ | _____ _____ ___________: _____ 233 _____ _____ ______ ______ ______ ______ ________ ___ 5591,0,0,0,0,0,0,0,0,1,0,0
__    ____ _____ _ ____ 7 _____ _____ ___ _______ ____ __ ______ __ ______ ______ _______ 80 ____...    _____ ___ ______ ______,1,0,0,0,0,0,0,0,0,0,0
_____ _____ _____ ________ __ _____ ______ __ ____ __ RT ______ _____ ______ __ _____ ____ ____ ,0,0,0,0,0,0,0,0,1,0,0
______ _____ ________ ______ ______ __ _______ ___ 5591 ____,0,0,0,0,0,0,0,0,1,0,0
_______ _______ ____ _______ _____ _______ ______ _____ _____ _______ ______ ,0,0,0,0,0,0,0,0,1,0,0
____ | ____ _____ _______: ____ 7 _____ _____ __ _____ ______ ______ ___ _________ ___ 80,0,0,0,0,0,0,0,0,1,1,0
____ _____ __    ___ ___ ____ __ ____  (___ ___)  flexed_biceps  medium-light_skin_tone __     Wish me luck  glowing_star ,1,0,0,0,0,0,0,0,0,0,0
____ __ ____ __ ______ ______ __ ____ ______ ..     ___ __ _____  (___) _ folded_hands ____,1,0,1,0,0,0,0,0,0,0,0
_______ : ____ 233 _____ _____ ______ ______ ______ ______ ________ ___ 5591,0,0,0,0,0,0,0,0,1,0,0
 _____ _____ ____ ___ ____ _____ ____ ____ ______ __ __ __ _____ ____,0,0,0,1,1,0,0,0,0,0,0
________ ____ _____ 233 _____ _____ ______ ______ ______ ______ ________ ___ 5591,0,0,0,0,0,0,0,0,1,0,0
______ ______ ___ ____ ____ ____ __ ____ ____ __ __ ______ _____ ______ ___,0,0,0,0,0,0,1,0,0,0,0
_____ ________ ____ _____ 499 ____ _____ ______ ______ ____ _______ _______,0,0,0,0,0,0,0,0,1,0,0
____ | _______ ____ ______ ___ ________ ______ ______ _____ ___ 5591 ____,0,0,0,0,0,0,0,0,1,0,0
____ _____ _______: ____ 7 __ ________ ______ ______ ______ ___ _____ ______ ___ 80,0,0,0,0,0,0,0,0,1,0,0
_____ ____ _____ _____ ______ __ ________ __ ___ ______ ____ _______ ___ __ ___ ___ _______,0,0,0,0,1,1,1,0,0,0,0
 ____ ___ ___ _____  _______ _____ ____ ____ ____ ____,0,0,0,0,0,0,1,1,0,0,0
___ _______ ______ ______ __ ________ _______ ___ ___ 4055,0,0,0,0,0,0,0,0,1,0,0
"__ ___ ___ ____ .. ___ ________ __ ______ ______ _ __ _______ ______ ______ (___ ___)  (___ ___)  (___ ___) ",0,0,0,0,0,0,0,0,0,0,1
___ ____ ____ ______ ______ ___ ___ ____ __ ____,0,0,0,1,0,0,1,0,0,0,0
" : _____ \____ ____\"" ____ ____ CNN _____ ____ _____ _______ ______ ______",0,0,0,0,0,0,0,0,1,0,0
___ ____ ______ ______ __ ______ _____ _____ _ _____ ______ ___ ______ ______ ______,1,0,0,0,0,0,0,0,0,0,0
_____ _________: _____ _____ ______ ______ _____ _____ _____ _____ ______ ,0,0,0,0,0,0,0,0,1,0,0
_______ ______ ___ __ ______ __ 2020 ____ ____ _______,0,0,0,0,0,1,0,0,0,0,0
__ ___ ______ ________   __ _______ __ ____ ______  (___ ___)     ____ _______     ,0,0,0,0,0,0,0,0,0,0,1
 __ ___ _____ _____ ______ __ _____ ______,0,0,0,0,0,0,0,0,0,1,0
1 ___ 4  _____ ______ ______  (_____)   _____ ___ _____ _____ ______ _____ ______  astonished_face   _________ _____ ____ ___  relieved_face,1,0,1,0,0,0,0,0,0,0,0
=________ _____  -____ ____ ____: ___ __ _____ _ _____ _____ ______ ___ ___ ____ ____ ____ __ ______ ______ ____ ________ ______ ________,0,0,0,0,0,0,0,0,0,0,1
___ ______ __ _____ _ ___ ______ ______ ____ _____ _______ ______ _______ ____ ____ _______ ______ ____ _____,0,0,0,0,0,0,0,0,0,1,0
 ___ ____ ____ ____ ______  rolling_on_the_floor_laughing  rolling_on_the_floor_laughing ,0,0,0,0,0,0,0,0,0,0,1
"_____ __ _____ _____ ______ _____ ______ _____ __ ___ ___ ____ _____ ____ ____ ______ __ ____ ______",0,0,1,0,0,0,0,0,0,0,0
____ | _______ ____ ______ ___ _______ ______ ______ _____ ___ 21 ____,0,0,0,0,0,0,0,0,1,0,0
_______ __ __ ______ ___ ____ ____ ______ ______ ____ _____ _______ _ ___ _____ __________ (_________)  (_________)  (_______),0,0,0,0,0,1,0,0,0,0,0
 ____ __ _____ __ ________ ___ ______ ____ ______   ____ __ _______ ___ ___ _______ !!,0,0,0,1,0,0,1,0,0,0,0
 __ ___ ____ ____ ______ ______ ____ ____ _____ __ _____,0,0,0,1,0,0,1,0,0,0,0
_____ ____ ___ ______ _____ ______ ______ ,1,0,1,0,0,0,0,0,0,0,0
____ _____ _______: ____ 7 __ ________ ______ ______ ______ ___ _____ ______ ___ 80,0,0,0,0,0,0,0,0,1,0,0
______ ____ ___ 26 ____ _____,0,0,0,0,0,0,0,0,0,1,0
____ ____ _______ ____ ___ ______ ________ ______ ___ ______ ___ ___ ____ ___ ____ ______ ____ ,0,0,0,0,0,0,0,0,1,0,0
______ ____ ______ ___ ___ __ _________ ___ ______ ________ ____ ____ ____ __ ____ _____ ____ _______ ______ ____ ________  (_____)  (_____)  (_____)  (_____)  (_____)  (_____)  (_____)  (_____)  (_____)  (_____)  (_____) ,0,0,0,0,0,0,1,0,0,0,0
_______ ____ _____ 149 ____ _5453 _____ _____ ______ ______ _______ ____ ___ ____,0,0,0,0,0,0,0,0,1,0,0
 ____ _____  (___ ___)  _____ ___ ______ ____ ___ _____  (___ ___)  __ ___ ________ ____ _____ ___ ______,0,0,0,0,0,0,0,0,0,0,1
____ __ ____ _____ ____ ____ ______ _________ ____ ______ ___ _ ______ ... ____ ___ ______ ,0,0,0,0,0,0,0,0,0,0,1
______ ___ ____ ____ ______ ____ _____ _____,0,0,0,1,0,0,0,0,0,0,0
____ ______ ____ _____ _____ _____ ____ __ ___ ______,0,0,0,1,0,0,0,0,0,0,0
— ______ ___ _______ __ _______ ___ 21 _________ ___ 5591,0,0,0,0,0,0,0,0,1,0,0
 ____ ____ ____ ______ ___ ________,0,0,1,0,0,0,0,0,0,0,0
______ _____ ___ __ ___ _ ______ __ ___ ______ _____ ..!     ,1,0,0,0,0,0,0,0,0,0,0
________ ______ _________ ___ ___ ___ _____     __________ ____ ______ _____,0,0,0,0,0,0,1,0,0,0,0
: 7 _____ ____ _____ __ _________ _____ ___ 80 ____ ____.,0,0,0,0,0,0,0,0,1,0,0
_____ _____ ______ ____ ____ ___ _____  (_____)  (_________)  persevering_face  ,0,0,0,0,1,1,0,0,0,0,0
" ______ ___ ____ ___ ______ _   ______ ______ ____ ______ ___ _________ ____ __ ______ ___ __ __ _____ ___ _____ _____ ________",0,0,0,0,0,0,1,0,0,0,0
_____ ____ _______ _________: ___ _______ ______ ______ __ ________ _______ _____ 4 ____,0,0,0,0,0,0,0,0,1,0,0
___ _____ ____ ______ ______ __ ______ ______ __ : __ ____ ___ ____ ____   _____ ___ ______ ______ __ _______ ____ ____ _______,1,0,1,0,0,0,0,0,0,0,0
____ _____ _______: ____ 7 __ ________ ______ ______ ______ ___ _____ ______ ___ 80,0,0,0,0,0,0,0,0,1,0,0
___ ______ _ ___ __ ______ ______ ___ ___ __ _________ ___ _______ ___ ______ _____  (____) ,0,0,0,0,1,0,0,0,0,0,0
_____ ______ _____ ____ ___ _____ __ ____   __ ____!!!   ____ _____ ____ __ _____!        ,0,0,0,0,0,1,0,0,0,0,0
  (_____)  _____ ____ ______ _____ ______ ______ __ ______ ,0,0,0,0,0,0,0,0,1,0,0
_____ _____ ___________: ______ ___ ________ ______ ___ 5591 ____ _______ ___ _______ ___ 21,0,0,0,0,0,0,0,0,1,0,0
____ ___ ______ ____ __ _______ ______ ____ __ ______,0,0,0,1,1,0,1,0,0,0,0
____ _____ _______: ____ 7 __ ________ ______ ______ ______ ___ _____ ______ ___ 80,0,0,0,0,0,0,0,0,1,0,0
___ ______ _______ ! __ ____ _______ ___  relieved_face   ,0,0,0,0,0,1,1,0,0,0,0
"_____ ___ ________:  ______ ___ ________ ______ ______ __ \_______\"" ___ 5",0,0,0,0,0,0,0,0,1,0,0
_____ _______ ____ ___ ___ ____ __ _______ ____ ____ ___ ____ ______ ___ _______ _____ ____ ______ ______  (____)  (_________) ,0,0,0,0,0,1,1,0,0,0,0
 ____ ____ ___ _____ _______ ___ ___ ____ ___ ______ _____ _____ _ ____ ____ ____ ___ ____ ____ ____,0,0,0,1,0,0,1,0,0,0,0
  ______ ______ ___ ____ ___ ______  _____ _____ ___...!,0,0,0,1,0,0,0,0,0,0,0
____ _____ _______: ____ 7 __ ________ ______ ______ ___ _____ ______ ___ 80,0,0,0,0,0,0,0,0,1,0,0
 __ ___ ____ _____ _____ ___ ______ __ _____ (_____)  light_skin_tone ,1,0,1,0,0,0,0,0,0,0,0
_____ _____ ___________: ______ ___ ________ ______ ___ 5591 ____ _______ ___ _______ ___ 21,0,0,0,0,0,0,0,0,1,0,0
_____ _____ ______ ______ _____ ___ ___ ________ ____ _____ ___ _____ ______,0,0,0,0,0,0,1,0,0,0,0
_____ _____ ___________: _____ 233 _____ _____ ______ ______ ______ ______ ________ ___ 5591,0,0,0,0,0,0,0,0,1,0,0
_____ ____ ______: _____ 3900 ____ ____ ____ 189___ ____ ______ ______ __ ________ _______,0,0,0,0,0,0,0,0,1,0,0
____ _______ ____ _____ _____ ___ _____ ____ ______ ____ ____ ______ _____,0,0,0,0,0,0,0,0,0,0,1
_____ ____ ______: _____ 865 ____ ______ ______ __ ________ _______ __ ___ ____ __ _____ ______,0,0,0,0,0,0,0,0,1,0,0
____ _____ _____ ___ ______ ,1,0,0,0,0,0,0,0,0,0,0
" ______ (______)_ _____ __  (___ ___) ",0,0,0,0,0,0,0,0,0,0,1
"____ ____ __ 3000 ___ __ ________ _______ __ ______ _ ___ _______ __ _____ _____ _____.",0,0,0,0,0,0,0,0,1,0,0
______ _____ _____ _____ ______ __ ______ ___ 50    ____ ______ ______,0,0,0,0,0,0,0,0,1,0,0
____ ____ ______ ___ _____ ____ __ _____ ______ ___ ____ ___,0,0,0,1,0,0,0,0,0,0,0
______ ________ _______ __ _______ _____ 90 ______ ___ _____ ______ – _______,0,0,0,0,0,0,0,0,1,0,0
___ ______ ____ ______ ______ ___ _____ _____ _______ ___ __ _______ _____ __ ______  ______/ 4 _____ ________ _____ ______ __ __________ .,0,0,0,0,0,0,0,0,0,0,1
   _________ _______: _____ ___ _______ _______ ______ _______ _______ __ ____ _____ ______,0,0,0,0,0,0,0,0,1,0,0
______ ___ _______ ______ __ ________ __________ ___ 21,0,0,0,0,0,0,0,0,1,0,0
_____ ____ _____ _______ __ ______  _____ _______ _______ _________ _______ _____ _____ _____    _____ __ _______,0,0,0,0,0,0,0,0,1,1,0
__ _____ __ _____ _____ __ ___ ____  ___ ____ ____ __ ___ ____ ________ ______  ______ ____ ______ _____ _____ ______ ____ 2020 rolling_on_the_floor_laughing,0,0,0,0,0,0,0,0,0,0,1
 ______ _____ ______ ___ ____ ____ ___ ____ _____ ______,0,0,0,1,0,0,1,0,0,0,0
____ | _____ _____ ___________: _____ 233 _____ _____ ______ ______ ______ ______ ________ ___ 5591,0,0,0,0,0,0,0,0,1,0,0
_____ ______ ___ ______ _______ ___ _____ _ ______ __ _ __ ______  (_________)  (_________)  (_________)  (_________)  (_________)  (_________) ,0,0,1,0,0,0,0,0,0,0,0
______ ___ ____ _________ ________ _____ __ ______ (___) ,1,0,0,0,0,0,0,0,0,0,0
7 _____ ____ _____ __ _________ _____ ___ 80 ____ ____,0,0,0,0,0,0,0,0,1,0,0
______ ___ _____ ____ ____ _______ ___ ______ ______ ..____ ____ ______ ___ _____,0,0,1,0,0,0,0,0,0,0,0
 _____ _____ _____ ________ _ _______  (_____)  medium-light_skin_tone  handshake  ___ ______ _____ __ ______ _____ ______ ___  handshake  (_____)  medium-light_skin_tone ,1,1,0,0,0,0,0,0,0,0,0
______ ____19 __ ______ ___ __ ___ __ _____ _____ _____ __ ___ ______,1,0,0,0,0,0,0,0,0,0,0
___ _______ ___ ___ ___ __ ___ _____ _____ ____ __ ____ _____ _____ _____ _______ _____ _____ _____,0,0,0,0,0,0,1,0,0,0,0
____ _____ _______ ____ ______: ____ 7 _____ _____ __ ____ ______ ______ ___ _____ ______ ___ 80 ____.,0,0,0,0,0,0,0,0,1,0,0
" __ ____ ____ ______ ______ __ ____ ____ _ ___ ___ _____ _____ ______ ___ ________ ______ ______.",0,0,0,0,0,0,0,0,1,1,0
_____ __ _____ ____ ___ _____ ___ _____ ____ ______ .. !!  _____ !  _____ !,0,0,0,0,0,1,0,0,0,0,0
________ _ ___*** __ __ _______ _____ ______ __ ____,0,0,0,1,0,0,1,0,0,0,0
___ ____ _____ ______ _____ ______ _ _______..    *_ _______ ______*,0,0,0,0,0,1,0,0,0,0,0
____ ____ _____ __ _____ _____ ___________: ______ ___ ________ ______ ______ ___ 5591 ____ _______ ___ _______ ___ 21,0,0,0,0,0,0,0,0,1,0,0
_____ ____ 36 _____ _____ ______ ______ _7 _____ ____ ____ ___24 ____ _______ - _____ ______ _______,0,0,0,0,0,0,0,0,1,0,0
                _____ ______ .,0,1,0,0,0,0,0,0,0,0,0
___ ____ ______ ____ ___ _____ ______ __ _________ ______   ___ ______ _______ ___ ____. ,0,0,0,0,0,0,1,0,0,0,0
 ___ ____ ______ __ __ _____ _____ ______ ___ _____ __ _____ _____ ____ ______ ___ __ _____ _____.,0,0,0,0,1,0,1,0,0,0,0
___ ____ ______ ___ ___ ___ _____ _______   ___ ___ ______ ______ ___ _____ _____ _____ __ ______ ___ _____   ______ ___ _____ ___ _____.,0,0,0,0,1,1,0,0,0,0,0
_____ ____ ____ ______ ___ ____,0,0,1,0,0,0,0,0,0,0,0
_____ ______ _____ ___ ___________   ___ ____ ____ ____,0,0,0,0,0,0,0,0,0,0,1
____ _____ ____ ____ ____ __ ______ ______ ____ ___ ____ ____ ____ ..,1,0,0,0,0,0,0,0,0,0,0
____ _____ _______: ____ 7 __ ________ ______ ______ ______ ___ _____ ______ ___ 80,0,0,0,0,0,0,0,0,1,0,0
______ __ ___ _____ ___ _____ ______ _ ____ ______ ______ _______ _______ _ ________ _ ________ _ ______ ________ :,0,0,0,0,0,0,0,0,0,1,0
_____ _____ _________: _____ 233 _____ _____ ______ ______ ______ ______ ________ ___ 5591,0,0,0,0,0,0,0,0,1,0,0
"______ __ ______ \____ ____ _________\"" ____ ______ ______ ___ ______ __ ______ ______ ",0,0,0,0,0,0,0,0,1,0,0
__ ___ ___ ______ ____ _____ __ __ ____ _____ ____ ___ ___ ___ _____ ____ ___ ____ ______ _____  full_moon_with_face !!,0,0,0,0,0,0,0,0,0,1,0
__ ___ ___ __ _____ __ _______ _____ __ ______ ______ ________,1,0,1,0,0,0,0,0,0,0,0
____ _____ ____ ______ ____ ___ _____ ________,0,0,0,0,0,1,0,0,0,0,0
____ __________ ___ ____ _______ _____ ____ ___ __ ______ ____ _______  (___________)  (_________)  ______ ___ ____ ______ ________  (_________) ,0,0,0,0,0,1,1,0,0,0,0
 | _____ ___ ______ _____ _____ ________ ____ _____ _____ _____ ___ ________ ______ ______ ______ ,0,0,0,0,0,0,0,0,1,0,0
"__ ______ ______ _______ _____ _______ _____ ______    ____ ___ ____ ___ ___ ____ ____ ___.",0,1,1,0,0,0,0,0,0,0,0
7 _____ ____ _____ __ _________ _____ ___ 80 ____ ____,0,0,0,0,0,0,0,0,1,1,0
 ___ _____   ____ _____ __ ______ ___ ____________  __ _____,0,0,0,1,0,0,0,0,0,0,0
_____ ____ _____ _ ____ ____ ___ _____ _ ______ _____,0,0,0,1,0,1,0,0,0,0,0
7 _____ ____ _____ __ _________ _____ ___ 80 ____ ____,0,0,0,0,0,0,0,0,1,0,0
 ____ ____ _____ ___ ______ _____ _____ ______ ___ ____ _____ ______ ___ _______,1,0,1,0,0,0,0,0,0,0,0
_____ ______ ______ ______ __ ______ ___ _________ ___________,0,0,0,0,1,1,0,0,0,0,0
 __ _____ ____ ______ ______ _______ __ ______ _____ ___ _____ ___ _____,0,0,0,0,0,1,1,0,0,0,0
________ ____ ____ ______ ___ ____ ____ _____ ___ ______ ,1,0,1,0,0,0,0,0,0,0,0
___ ______ ____ ____ ____ ____ _____ _____  (___)  light_skin_tone  _____ _______ ,0,0,0,0,1,0,1,0,0,0,0
 __ ____ ____ __ ______ ______ ___ ______ ______  (___ ___)  (___ ___) ,0,0,0,0,0,0,0,0,0,0,1
___ __ ___ __ ____ ____ __ _____ ___  (____)  ,0,0,0,0,0,0,0,0,0,1,0
_____ ___ ____ ____ ...____   ____ ____ _____ ______ ____ ..!!,0,0,0,0,0,0,0,0,0,1,0
____: ____ ___ ___ ________ _____ 100 ___ ___ __ ______,0,0,0,0,0,0,0,0,1,0,0
___ __ _________ _____  _____ ____ ____ ______ __ ______ full_moon_with_face     ,0,0,0,0,0,0,0,0,0,0,1
 ____ ____ ______ ______ __ _____ _______     - _______ ____ ___,0,0,0,0,0,1,1,0,0,0,0
___ __ _____ _____... _____ _____ _______ ____ ___ ______ ___ ____ __ __ ,0,0,0,0,0,0,1,0,0,0,0
___ ____ __ _____ ____ ___ ________ ______ ___ ___ ______ .. ___ _____ _____ ____ _____ ___ _____ _____ _____,0,1,1,0,0,0,0,0,0,0,0
 ___ ____ __ ____ ________ ______ _____ ____ __ _____  _____ ___ ___ _____ _______ _ __ ___ ____ _____ ___,1,0,0,0,0,0,0,0,0,0,0
_____ ____ ___ ______ _____ __ _______ ________ ______.,0,0,0,0,0,0,0,0,1,0,0
    ___ _____ __ _______ _____ _____ _____   ____ _____ __ _______ _____ _______   _____ _____ ____ ___ ______ _______,0,0,0,0,1,1,0,0,0,0,0
 _____ ____ _____ ___ __ _____ ___ ____ _______ ___ ________ _____ ____ ____ ____ __ __ ______ ____ ______ __ ___  (___ ___)  (___ ___)  (___ ___)  (___ ___)  (___ ___) ,0,0,0,0,0,0,0,0,0,0,1
____ __ _____ _____ _______ ____ _____ ___ ____ ___ ___ ____ _____ ______ __ _______ _______ __ _________ ______.,0,0,0,0,0,0,0,0,1,1,0
"__ __ ___ _ ___ ______.    _____ ____ (_______ ______ _______ ________ ____ _____)        #",0,0,0,1,1,0,0,0,0,0,0
__ _____ ___ ___ ___ ___ ____ _____ __ _____!,0,0,0,0,0,0,0,0,0,1,0
"________ ____ ______ ___ ________ ______ ______ __ \_______\"" ___ 5",0,0,0,0,0,0,0,0,1,0,0
____ _____ ______ ________ ________ _____ _____ _____ ___ ______ . _____ ____ ___ ______ _______,1,0,1,0,0,0,0,0,0,0,0
____ __ ___ ____ ___ .. ___ ____ ____ ____ ______,0,0,0,0,0,0,0,0,0,0,1
 __ __ ______ ___ _ _______ ______ ____ ____ ______  (___ ___)  face_with_tears_of_joy __,0,0,0,0,0,0,0,0,0,0,1
___ _______ __ ____ _____ _______ ____ ______,0,0,0,1,0,0,0,0,0,0,0
__ _____ ___ _______ __ ______ ______ _______ ______ _________ _________ __ ____ _____   ,0,0,0,0,0,0,0,0,1,0,0
 ___ ____ _____ _____ __ ___ ___ _______ ____ ___ ______ ____ ____,0,0,0,0,1,0,0,0,0,0,0
_____ ____ ______: _____ 865 ____ ______ ______ __ ________ _______ __ ___ ____ __ _____ ______,0,0,0,0,0,0,0,0,1,0,0
   _________ _______: _____ ___ _______ _______ ______ _______ _______ __ ____ _____ ______,0,0,0,0,0,0,0,0,1,0,0
____ ______ ____ bat _ corona ____ __ ____ ___ ____ __ _____!,0,0,0,0,0,0,0,0,0,0,1
____ ____ ____ _____  ______ ___ __ ___ __ ____   ______* ______ ______   ____ _____ .. __ ___...  ____ ...___.,0,0,0,0,1,1,1,0,0,0,0
______ _____ _______ ___ ___ ____ ______ _________ __ _____ ___ ____ ___ ____ _____ _____ ____ ______ _____ _______ __ ______  (____)  (____)  (____)  (____) ,0,0,0,0,0,0,0,0,0,1,0
"______ ___ _______ ______ _________ _________ _______ _____ _______ _____ ______ ____ ___ ____ ___ ____ _____",0,0,0,0,0,1,1,0,0,0,0
" ____ ____ ___ ______ ______ _____ _____ flexed_biceps  ____ _____ ___ ______ ___ __.._____ ___ ______ ___ ____ ________.\  (____ ____ _____) """,0,0,1,0,0,0,0,0,0,0,0
"_____ _______ __ ____ ___ ________ _ ______ ____ _ _____ __ _______ _______ ____ ..",1,0,0,0,0,0,0,0,0,0,0
______ ___ ___ _____ .  _____ ____.  ____ ____ ________ _____ .,0,0,0,1,0,0,1,0,0,0,0
 ____ ___ ______ ______ ____ _______ ___ _______ ____ __ _________,0,0,0,0,0,0,0,0,0,1,0
 _____ ___________ ____ _______ ___ ___ ___ ________ _ ______ ____ ____ ______ !!,0,0,0,0,0,0,1,0,0,0,0
 ____ ____ ______ __ ____ ____ (___ ___)  (___ ___)  (___ ___) ,0,0,0,0,0,0,0,0,0,0,1
